1, -nan, -nan, -nan, -nan 
2, -nan, -nan, -nan, -nan 
3, -nan, -nan, -nan, -nan 
4, 15.580357, 15.964286, 7.455357, 7.732143 
5, 12.330357, 12.196429, 12.339286, 12.321429 
6, 45.554688, 45.718750, 11.632812, 11.648438 
7, 80.796875, 94.765625, 14.492188, 15.250000 
8, 166.427083, 171.312500, 20.020833, 20.229167 
9, 130.107143, 128.312500, 51.723214, 48.776786 
10, 183.843750, 319.229167, 64.197917, 71.677083 
11, 641.400000, 740.525000, 66.087500, 66.900000 
12, 641.328125, 795.062500, 124.093750, 114.500000 
13, 1047.554688, 1437.523438, 84.109375, 96.328125 
14, 1412.527778, 1832.444444, 118.013889, 141.361111 
15, 1918.552083, 2483.510417, 178.885417, 206.468750 
16, 648.328125, 1276.187500, 238.906250, 308.656250 
17, 2789.785714, 3573.955357, 250.017857, 315.080357 
18, 3791.804688, 4157.820312, 327.585938, 462.109375 
19, 5177.976562, 7060.007812, 208.710938, 250.742188 
20, 3676.250000, 3944.828125, 464.484375, 478.039062 
21, 8874.617188, 16490.593750, 255.937500, 405.953125 
22, 3011.359375, 5013.843750, 511.906250, 686.148438 
23, 4788.385417, 9289.031250, 813.937500, 803.072917 
24, 6253.109375, 8383.625000, 687.687500, 822.078125 
25, 11178.083333, 18354.395833, 919.833333, 1069.166667 
26, 17274.642857, 23224.517857, 1034.723214, 1142.991071 
27, 23701.197917, 23578.552083, 1034.437500, 1520.375000 
28, 20449.687500, 21307.195312, 1443.359375, 1563.085938 
29, 22164.781250, 28362.921875, 1342.312500, 1451.500000 
30, 51320.354167, 56438.197917, 1090.875000, 1221.041667 
31, 9629.770833, 23215.270833, 2199.114583, 2982.427083 
32, 21933.718750, 37808.947917, 1992.604167, 2551.614583 
33, 39572.937500, 64665.662500, 1492.675000, 2321.362500 
34, 41670.887500, 59520.162500, 2478.812500, 4347.112500 
35, 72351.450000, 75870.012500, 1408.175000, 1817.587500 
36, 78838.937500, 88712.625000, 2632.916667, 3193.854167 
37, 82012.479167, 127403.812500, 2826.291667, 1942.968750 
38, 71447.458333, 79862.250000, 3328.052083, 3112.447917 
39, 74315.071429, 76042.508929, 2445.339286, 3145.928571 
40, 86119.958333, 83531.520833, 2923.375000, 2530.145833 
41, 194599.250000, 234856.107143, 2509.982143, 4340.276786 
42, 164923.645833, 223696.802083, 4151.291667, 5775.031250 
43, 75843.425000, 135540.637500, 5874.762500, 6417.812500 
44, 186558.729167, 268490.052083, 3978.093750, 4475.687500 
45, 148853.250000, 146995.583333, 7690.718750, 8228.458333 
46, 178806.750000, 232946.195312, 5388.101562, 6233.570312 
47, 152142.062500, 239971.937500, 6612.803571, 10278.839286 
48, 292030.687500, 205134.666667, 7537.375000, 8057.812500 
49, 193459.850000, 259660.275000, 7285.337500, 11587.087500 
50, 383458.781250, 483519.062500, 1920.562500, 3388.906250 
